,licese_year,region,license_count,x_point,y_point
117,2001,Northern Boarder,2971,30.197074783,41.8171186952
118,2006,Northern Boarder,2573,30.197074783,41.8171186952
119,2004,Northern Boarder,1922,30.197074783,41.8171186952
120,2014,Jazan,15621,17.2072313962,42.6525807422
121,2011,Jazan,10946,17.2072313962,42.6525807422
122,1994,Jazan,3826,17.2072313962,42.6525807422
123,1999,Jazan,4792,17.2072313962,42.6525807422
124,2009,Jazan,9437,17.2072313962,42.6525807422
125,2016,Najran,2153,18.4511003068,46.8688495726
126,2012,Najran,9201,18.4511003068,46.8688495726
127,2000,Najran,4905,18.4511003068,46.8688495726
128,2006,Najran,5897,18.4511003068,46.8688495726
129,2007,Najran,7226,18.4511003068,46.8688495726
130,2014,Al-Baha,7268,20.1484058503,41.4665484892
131,2012,Al-Baha,7593,20.1484058503,41.4665484892
132,1993,Al-Baha,3270,20.1484058503,41.4665484892
133,1995,Al-Baha,2423,20.1484058503,41.4665484892
134,1998,Al-Baha,5110,20.1484058503,41.4665484892
135,2002,Al-Baha,3335,20.1484058503,41.4665484892
136,2003,Al-Baha,3616,20.1484058503,41.4665484892
137,2005,Al-Baha,2698,20.1484058503,41.4665484892
138,2014,Al-Jouf,9982,29.9677445762,39.5570371172
139,2012,Al-Jouf,10246,29.9677445762,39.5570371172
140,1994,Al-Jouf,2535,29.9677445762,39.5570371172
141,2004,Al-Jouf,4601,29.9677445762,39.5570371172
151,2012,Riyadh,23888,23.0814341634,45.5857512766
152,1993,Riyadh,103886,23.0814341634,45.5857512766
153,1995,Riyadh,101608,23.0814341634,45.5857512766
154,1994,Riyadh,110545,23.0814341634,45.5857512766
155,2014,Riyadh,194208,23.0814341634,45.5857512766
156,1996,Riyadh,110131,23.0814341634,45.5857512766
157,2017,Makkah,142487,21.628962766,41.2636898334
158,2016,Makkah,136055,21.628962766,41.2636898334
159,2005,Al-Jouf,3558,29.9677445762,39.5570371172
160,2008,Al-Jouf,10929,29.9677445762,39.5570371172
161,2009,Al-Jouf,10567,29.9677445762,39.5570371172
166,2010,Northern Boarder,3064,30.197074783,41.8171186952
167,1996,Northern Boarder,1383,30.197074783,41.8171186952
168,2002,Northern Boarder,2268,30.197074783,41.8171186952
169,2009,Northern Boarder,3649,30.197074783,41.8171186952
170,2015,Jazan,13931,17.2072313962,42.6525807422
171,2013,Jazan,14175,17.2072313962,42.6525807422
172,2007,Jazan,12634,17.2072313962,42.6525807422
173,2005,Jazan,5502,17.2072313962,42.6525807422
174,2015,Najran,1864,18.4511003068,46.8688495726
175,1996,Najran,3274,18.4511003068,46.8688495726
176,2008,Najran,7938,18.4511003068,46.8688495726
177,1999,Al-Baha,4246,20.1484058503,41.4665484892
178,2000,Al-Baha,4832,20.1484058503,41.4665484892
179,2001,Al-Baha,7594,20.1484058503,41.4665484892
180,2007,Al-Baha,997,20.1484058503,41.4665484892
181,2015,Al-Jouf,10233,29.9677445762,39.5570371172
182,1997,Al-Jouf,3565,29.9677445762,39.5570371172
183,1998,Al-Jouf,3476,29.9677445762,39.5570371172
184,2002,Al-Jouf,5940,29.9677445762,39.5570371172
185,2006,Al-Jouf,4846,29.9677445762,39.5570371172
186,1993,Makkah,65977,21.628962766,41.2636898334
187,1995,Makkah,60356,21.628962766,41.2636898334
188,2001,Makkah,85593,21.628962766,41.2636898334
189,2016,Madinah,24540,24.927534539,39.4918237173
190,2001,Madinah,13561,24.927534539,39.4918237173
191,2006,Madinah,11204,24.927534539,39.4918237173
192,2009,Madinah,11574,24.927534539,39.4918237173
193,2016,Qassim,9180,26.1967063704,43.3429998455
194,2001,Qassim,14718,26.1967063704,43.3429998455
195,2013,Eastern Region,123325,23.2883307307,50.1478302439
196,1996,Eastern Region,8461,23.2883307307,50.1478302439
197,2002,Eastern Region,85035,23.2883307307,50.1478302439
198,2000,Eastern Region,65767,23.2883307307,50.1478302439
199,2001,Eastern Region,74119,23.2883307307,50.1478302439
200,2006,Eastern Region,79517,23.2883307307,50.1478302439
201,2007,Eastern Region,106511,23.2883307307,50.1478302439
202,2008,Eastern Region,104626,23.2883307307,50.1478302439
203,2014,Asir,29552,19.1387847401,42.941470036
204,2011,Asir,24515,19.1387847401,42.941470036
205,1999,Asir,14625,19.1387847401,42.941470036
206,2002,Asir,20417,19.1387847401,42.941470036
207,2000,Asir,18622,19.1387847401,42.941470036
208,2006,Asir,20330,19.1387847401,42.941470036
209,2007,Asir,10835,19.1387847401,42.941470036
210,2015,Tabouk,915,27.90165499,37.2598581394
211,1993,Tabouk,3174,27.90165499,37.2598581394
212,1997,Tabouk,5426,27.90165499,37.2598581394
213,2002,Tabouk,8794,27.90165499,37.2598581394
214,2005,Tabouk,6511,27.90165499,37.2598581394
215,2016,Hail,54507,27.400845724,41.4406960508
216,1993,Hail,10484,27.400845724,41.4406960508
217,1996,Hail,10267,27.400845724,41.4406960508
218,2003,Hail,3861,27.400845724,41.4406960508
219,2006,Hail,8166,27.400845724,41.4406960508
220,2003,Northern Boarder,1705,30.197074783,41.8171186952
221,1995,Jazan,2284,17.2072313962,42.6525807422
222,1998,Jazan,2613,17.2072313962,42.6525807422
223,2003,Jazan,5220,17.2072313962,42.6525807422
224,2004,Jazan,5016,17.2072313962,42.6525807422
225,2017,Najran,13825,18.4511003068,46.8688495726
226,1993,Najran,3769,18.4511003068,46.8688495726
227,1997,Najran,3073,18.4511003068,46.8688495726
228,2002,Najran,5117,18.4511003068,46.8688495726
229,2005,Najran,4779,18.4511003068,46.8688495726
230,2010,Al-Baha,7076,20.1484058503,41.4665484892
231,2013,Al-Baha,7482,20.1484058503,41.4665484892
232,1997,Al-Baha,3027,20.1484058503,41.4665484892
233,2006,Al-Baha,3593,20.1484058503,41.4665484892
234,2017,Al-Jouf,8091,29.9677445762,39.5570371172
235,1993,Al-Jouf,2884,29.9677445762,39.5570371172
236,1995,Al-Jouf,2270,29.9677445762,39.5570371172
237,1999,Al-Jouf,3950,29.9677445762,39.5570371172
238,2007,Al-Jouf,9097,29.9677445762,39.5570371172
241,2010,Riyadh,31378,23.0814341634,45.5857512766
242,2003,Riyadh,26076,23.0814341634,45.5857512766
243,2000,Riyadh,45345,23.0814341634,45.5857512766
244,2006,Riyadh,36059,23.0814341634,45.5857512766
245,2008,Riyadh,36798,23.0814341634,45.5857512766
246,2011,Makkah,110647,21.628962766,41.2636898334
247,2017,Madinah,36165,24.927534539,39.4918237173
248,2011,Madinah,14630,24.927534539,39.4918237173
249,1993,Madinah,4122,24.927534539,39.4918237173
250,2002,Madinah,10494,24.927534539,39.4918237173
251,2005,Madinah,10210,24.927534539,39.4918237173
252,2012,Qassim,11421,26.1967063704,43.3429998455
253,2004,Qassim,9390,26.1967063704,43.3429998455
254,2005,Qassim,10480,26.1967063704,43.3429998455
255,2014,Eastern Region,121774,23.2883307307,50.1478302439
256,2016,Eastern Region,142307,23.2883307307,50.1478302439
257,2010,Eastern Region,110295,23.2883307307,50.1478302439
258,1995,Eastern Region,7831,23.2883307307,50.1478302439
259,1994,Eastern Region,10918,23.2883307307,50.1478302439
260,1997,Eastern Region,58814,23.2883307307,50.1478302439
261,2003,Eastern Region,82697,23.2883307307,50.1478302439
262,2009,Eastern Region,108544,23.2883307307,50.1478302439
263,2017,Asir,39133,19.1387847401,42.941470036
264,2016,Asir,41367,19.1387847401,42.941470036
265,2013,Asir,29730,19.1387847401,42.941470036
266,2001,Asir,20321,19.1387847401,42.941470036
267,2005,Asir,18565,19.1387847401,42.941470036
268,2014,Tabouk,12188,27.90165499,37.2598581394
269,1995,Tabouk,2051,27.90165499,37.2598581394
270,2004,Tabouk,7532,27.90165499,37.2598581394
271,2015,Hail,7172,27.400845724,41.4406960508
272,2011,Hail,9123,27.400845724,41.4406960508
273,2012,Hail,11082,27.400845724,41.4406960508
274,1994,Hail,11131,27.400845724,41.4406960508
275,1998,Hail,4708,27.400845724,41.4406960508
276,2000,Hail,3215,27.400845724,41.4406960508
277,2015,Northern Boarder,3837,30.197074783,41.8171186952
278,2014,Northern Boarder,5009,30.197074783,41.8171186952
279,2013,Northern Boarder,3921,30.197074783,41.8171186952
280,1995,Northern Boarder,1318,30.197074783,41.8171186952
281,1994,Northern Boarder,1457,30.197074783,41.8171186952
282,1997,Northern Boarder,1531,30.197074783,41.8171186952
283,2007,Northern Boarder,3479,30.197074783,41.8171186952
284,2008,Northern Boarder,3519,30.197074783,41.8171186952
285,2017,Jazan,18345,17.2072313962,42.6525807422
286,2016,Jazan,11504,17.2072313962,42.6525807422
287,2012,Jazan,11156,17.2072313962,42.6525807422
288,1996,Jazan,2226,17.2072313962,42.6525807422
289,2002,Jazan,5254,17.2072313962,42.6525807422
290,2006,Jazan,7955,17.2072313962,42.6525807422
291,2015,Riyadh,24548,23.0814341634,45.5857512766
292,2017,Riyadh,495307,23.0814341634,45.5857512766
293,2016,Riyadh,242851,23.0814341634,45.5857512766
294,1998,Riyadh,114962,23.0814341634,45.5857512766
295,2002,Riyadh,25423,23.0814341634,45.5857512766
296,2007,Riyadh,36261,23.0814341634,45.5857512766
297,2004,Riyadh,23479,23.0814341634,45.5857512766
298,2009,Riyadh,38014,23.0814341634,45.5857512766
299,1996,Makkah,46195,21.628962766,41.2636898334
300,2014,Najran,9601,18.4511003068,46.8688495726
301,2011,Najran,7314,18.4511003068,46.8688495726
302,1994,Najran,3880,18.4511003068,46.8688495726
303,1998,Najran,4322,18.4511003068,46.8688495726
304,2001,Najran,4950,18.4511003068,46.8688495726
305,2004,Najran,4609,18.4511003068,46.8688495726
306,2017,Al-Baha,4131,20.1484058503,41.4665484892
307,2004,Al-Baha,3410,20.1484058503,41.4665484892
308,2008,Al-Baha,5418,20.1484058503,41.4665484892
309,2009,Al-Baha,9815,20.1484058503,41.4665484892
310,2016,Al-Jouf,9371,29.9677445762,39.5570371172
311,2011,Al-Jouf,10180,29.9677445762,39.5570371172
312,2013,Al-Jouf,11602,29.9677445762,39.5570371172
313,2003,Al-Jouf,3852,29.9677445762,39.5570371172
318,2002,Makkah,88593,21.628962766,41.2636898334
319,2003,Makkah,74236,21.628962766,41.2636898334
320,2007,Makkah,91902,21.628962766,41.2636898334
321,2015,Madinah,22744,24.927534539,39.4918237173
322,1997,Madinah,10495,24.927534539,39.4918237173
323,2008,Madinah,9194,24.927534539,39.4918237173
324,2011,Qassim,10760,26.1967063704,43.3429998455
325,1993,Qassim,73618,26.1967063704,43.3429998455
326,1997,Qassim,10092,26.1967063704,43.3429998455
327,1999,Qassim,9983,26.1967063704,43.3429998455
328,1998,Qassim,11350,26.1967063704,43.3429998455
329,2002,Qassim,16298,26.1967063704,43.3429998455
330,2008,Qassim,22236,26.1967063704,43.3429998455
331,2009,Qassim,27571,26.1967063704,43.3429998455
332,1993,Eastern Region,9964,23.2883307307,50.1478302439
333,1999,Eastern Region,64973,23.2883307307,50.1478302439
334,1998,Eastern Region,70650,23.2883307307,50.1478302439
335,2004,Eastern Region,84984,23.2883307307,50.1478302439
336,2005,Eastern Region,82505,23.2883307307,50.1478302439
337,2010,Asir,21835,19.1387847401,42.941470036
338,1993,Asir,6226,19.1387847401,42.941470036
339,1994,Asir,5185,19.1387847401,42.941470036
340,2004,Asir,17947,19.1387847401,42.941470036
341,2009,Asir,21582,19.1387847401,42.941470036
342,2016,Tabouk,13610,27.90165499,37.2598581394
343,2012,Tabouk,11391,27.90165499,37.2598581394
344,1999,Tabouk,5298,27.90165499,37.2598581394
345,2000,Tabouk,8473,27.90165499,37.2598581394
346,2006,Tabouk,8259,27.90165499,37.2598581394
347,2013,Hail,9731,27.400845724,41.4406960508
348,1997,Hail,6606,27.400845724,41.4406960508
349,1999,Hail,3139,27.400845724,41.4406960508
